date,hour,ws,wd,pm10,deployment
3/30/2017,0,0,0,NA,Buttercup 
3/30/2017,1,0,0,NA,Buttercup 
3/30/2017,2,2,3,NA,Buttercup 
3/30/2017,3,0,0,NA,Buttercup 
3/30/2017,4,0,0,NA,Buttercup 
3/30/2017,5,2,65,NA,Buttercup 
3/30/2017,6,0,0,NA,Buttercup 
3/30/2017,7,0,0,NA,Buttercup 
3/30/2017,8,6,112,NA,Buttercup 
3/30/2017,9,9,141,NA,Buttercup 
3/30/2017,10,7,151,NA,Buttercup 
3/30/2017,11,11,141,NA,Buttercup 
3/30/2017,12,11,171,NA,Buttercup 
3/30/2017,13,12,179,NA,Buttercup 
3/30/2017,14,15,173,NA,Buttercup 
3/30/2017,15,16,181,NA,Buttercup 
3/30/2017,16,17,188,NA,Buttercup 
3/30/2017,17,18,250,NA,Buttercup 
3/30/2017,18,23,248,NA,Buttercup 
3/30/2017,19,18,251,NA,Buttercup 
3/30/2017,20,16,262,NA,Buttercup 
3/30/2017,21,13,253,NA,Buttercup 
3/30/2017,22,11,281,NA,Buttercup 
3/30/2017,23,17,267,NA,Buttercup 
3/30/2017,0,2,73,NA,Cahuilla 
3/30/2017,1,0,0,NA,Cahuilla 
3/30/2017,2,0,0,NA,Cahuilla 
3/30/2017,3,3,69,NA,Cahuilla 
3/30/2017,4,6,80,NA,Cahuilla 
3/30/2017,5,7,77,NA,Cahuilla 
3/30/2017,6,6,91,NA,Cahuilla 
3/30/2017,7,5,98,NA,Cahuilla 
3/30/2017,8,7,151,NA,Cahuilla 
3/30/2017,9,7,176,NA,Cahuilla 
3/30/2017,10,8,248,NA,Cahuilla 
3/30/2017,11,10,213,NA,Cahuilla 
3/30/2017,12,15,228,NA,Cahuilla 
3/30/2017,13,17,228,NA,Cahuilla 
3/30/2017,14,28,247,NA,Cahuilla 
3/30/2017,15,31,238,NA,Cahuilla 
3/30/2017,16,31,248,NA,Cahuilla 
3/30/2017,17,17,273,NA,Cahuilla 
3/30/2017,18,7,291,NA,Cahuilla 
3/30/2017,19,18,278,NA,Cahuilla 
3/30/2017,20,7,305,NA,Cahuilla 
3/30/2017,21,8,298,NA,Cahuilla 
3/30/2017,22,6,308,NA,Cahuilla 
3/30/2017,23,10,296,NA,Cahuilla 
3/30/2017,0,0,0,123.9,Calexico-Ethel Street 
3/30/2017,1,1.2,326,103.8,Calexico-Ethel Street 
3/30/2017,2,0,0,100.8,Calexico-Ethel Street 
3/30/2017,3,2.4,98,67.2,Calexico-Ethel Street 
3/30/2017,4,1.9,131,45.9,Calexico-Ethel Street 
3/30/2017,5,1.4,125,69.1,Calexico-Ethel Street 
3/30/2017,6,1.4,102,109,Calexico-Ethel Street 
3/30/2017,7,1.7,125,166.1,Calexico-Ethel Street 
3/30/2017,8,3.2,112,110,Calexico-Ethel Street 
3/30/2017,9,0,0,71.5,Calexico-Ethel Street 
3/30/2017,10,2.4,252,56.5,Calexico-Ethel Street 
3/30/2017,11,5.3,176,48.6,Calexico-Ethel Street 
3/30/2017,12,5.7,203,29.2,Calexico-Ethel Street 
3/30/2017,13,12.9,260,195.7,Calexico-Ethel Street 
3/30/2017,14,13.2,251,148.8,Calexico-Ethel Street 
3/30/2017,15,13.9,263,194.9,Calexico-Ethel Street 
3/30/2017,16,14.9,275,173.8,Calexico-Ethel Street 
3/30/2017,17,14.3,261,487,Calexico-Ethel Street 
3/30/2017,18,17.5,269,507.9,Calexico-Ethel Street 
3/30/2017,19,19,288,626.1,Calexico-Ethel Street 
3/30/2017,20,13.8,290,181.1,Calexico-Ethel Street 
3/30/2017,21,14.6,272,205.7,Calexico-Ethel Street 
